Type,Value,Rating,Confidence,DateAdded,LastModified,Description,DNS,Observations,Date Last Observed,Tags
Address,185.99.2.75,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,174.136.52.222,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.58.218.132,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,356691,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,103.27.235.82,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,74.125.34.46,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,1768,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.58.217.78,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,3556,12-04-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,5.152.210.176,3,80,09-07-2017,09-07-2017,"This indicator appears in a post from Hazmalware.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"Phishing";"AMP";"Threat Round-up";"BLOG: Talos";"Trickbot";"research";"BLOG: Hazmalware"
Address,210.16.102.251,3,80,09-07-2017,09-07-2017,"This indicator appears in a post from Hazmalware.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"Phishing";"AMP";"Threat Round-up";"BLOG: Talos";"Trickbot";"research";"BLOG: Hazmalware"
Address,216.138.226.110,3,80,09-07-2017,09-07-2017,"This indicator appears in a post from Hazmalware.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"Phishing";"AMP";"Threat Round-up";"BLOG: Talos";"Trickbot";"research";"BLOG: Hazmalware"
Address,107.22.255.198,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,5.152.210.179,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,178.62.197.82,4,95,05-16-2017,09-07-2017,"This indicator appears in a post from Talos.",,4,07-25-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"SANS Internet Storm Center";"BLOG: Talos"
Address,23.21.138.252,4,95,06-30-2017,09-07-2017,"This indicator appears in a post from Talos.",,3176,11-17-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"malware analysis";"Malware Research";"Indicator's of Compromise";"BroadAnalysis";"IOC's";"Hancitor";"Malicious Word Document"
Address,185.165.29.129,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,31.185.104.20,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,5,11-28-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,185.100.86.128,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,13,11-07-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,120.29.217.46,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,4,08-04-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,89.45.235.21,4,95,05-13-2017,09-07-2017,"This indicator appears in a post from Talos.",,51,12-05-2017,"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Ransomware";"AMP";"Threat Round-up";"BLOG: Talos";"Malware Research";"MS17-010"
Address,138.201.14.197,4,95,09-07-2017,09-07-2017,"This indicator appears in a post from Talos.",,16,11-22-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
